userID,placeID,rating,food_rating,service_rating,latitude,longitude,smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,birth_year,interest,personality,religion,activity,color,weight,budget,height,Rcuisine_x,Rcuisine_y,Rpayment,parking_lot,hours,days
U1077,135085,2,2,2,22.156469,-100.98554,false,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,Mexican,Fast_Food,cash,public,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
U1077,135038,2,2,1,22.156469,-100.98554,false,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,Mexican,,cash,none,08:00-17:00;,Mon;Tue;Wed;Thu;Fri;
U1077,132825,2,2,2,22.156469,-100.98554,false,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,Mexican,Mexican,cash,none,09:00-12:00;,Mon;Tue;Wed;Thu;Fri;
U1077,135060,1,2,2,22.156469,-100.98554,false,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,Mexican,Seafood,cash,none,11:30-19:00;,Mon;Tue;Wed;Thu;Fri;
U1068,135104,1,1,2,23.752269,-99.168605,false,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,Mexican,Mexican,cash,yes,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
U1068,132740,0,0,0,23.752269,-99.168605,false,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,Mexican,Mexican,cash,none,08:30-12:00;,Mon;Tue;Wed;Thu;Fri;
U1068,132663,1,1,1,23.752269,-99.168605,false,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,Mexican,Mexican,,none,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
U1068,132732,0,0,0,23.752269,-99.168605,false,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,Mexican,Mexican,cash,none,19:00-01:00;,Mon;Tue;Wed;Thu;Fri;
U1068,132630,1,1,1,23.752269,-99.168605,false,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,Mexican,Mexican,,none,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
U1067,132584,2,2,2,23.752269,-99.168605,false,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,Mexican,Mexican,cash,yes,08:30-20:00;,Mon;Tue;Wed;Thu;Fri;
U1067,132733,1,1,1,23.752269,-99.168605,false,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,Mexican,Pizzeria,cash,yes,10:30-22:30;,Mon;Tue;Wed;Thu;Fri;
U1067,132732,1,2,2,23.752269,-99.168605,false,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,Mexican,Mexican,cash,none,19:00-01:00;,Mon;Tue;Wed;Thu;Fri;
U1067,132630,1,0,1,23.752269,-99.168605,false,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,Mexican,Mexican,,none,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
U1067,135104,0,0,0,23.752269,-99.168605,false,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,Mexican,Mexican,cash,yes,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
U1067,132560,1,0,0,23.752269,-99.168605,false,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,Mexican,Regional,cash,public,08:00-12:00;,Mon;Tue;Wed;Thu;Fri;
U1103,132584,1,2,1,23.752265,-99.16859,false,abstemious,formal,friends,public,single,independent,1989,technology,hard-worker,Jewish,professional,green,120,medium,1.9,Mexican,Mexican,cash,yes,08:30-20:00;,Mon;Tue;Wed;Thu;Fri;
U1103,132732,0,0,2,23.752265,-99.16859,false,abstemious,formal,friends,public,single,independent,1989,technology,hard-worker,Jewish,professional,green,120,medium,1.9,Mexican,Mexican,cash,none,19:00-01:00;,Mon;Tue;Wed;Thu;Fri;
U1103,132630,1,2,0,23.752265,-99.16859,false,abstemious,formal,friends,public,single,independent,1989,technology,hard-worker,Jewish,professional,green,120,medium,1.9,Mexican,Mexican,,none,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
U1103,132613,2,2,2,23.752265,-99.16859,false,abstemious,formal,friends,public,single,independent,1989,technology,hard-worker,Jewish,professional,green,120,medium,1.9,Mexican,Mexican,cash,yes,08:00-16:00;,Mon;Tue;Wed;Thu;Fri;
U1103,132667,1,2,2,23.752265,-99.16859,false,abstemious,formal,friends,public,single,independent,1989,technology,hard-worker,Jewish,professional,green,120,medium,1.9,Mexican,Armenian,cash,none,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
U1103,135104,1,2,0,23.752265,-99.16859,false,abstemious,formal,friends,public,single,independent,1989,technology,hard-worker,Jewish,professional,green,120,medium,1.9,Mexican,Mexican,cash,yes,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
U1103,132663,1,0,2,23.752265,-99.16859,false,abstemious,formal,friends,public,single,independent,1989,technology,hard-worker,Jewish,professional,green,120,medium,1.9,Mexican,Mexican,,none,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
U1103,132733,2,2,2,23.752265,-99.16859,false,abstemious,formal,friends,public,single,independent,1989,technology,hard-worker,Jewish,professional,green,120,medium,1.9,Mexican,Pizzeria,cash,yes,10:30-22:30;,Mon;Tue;Wed;Thu;Fri;
U1107,132660,2,2,1,23.742409,-99.171889,false,abstemious,no preference,friends,car owner,single,independent,1989,variety,hard-worker,Catholic,?,blue,87,high,1.79,Mexican,,,none,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
U1107,132584,2,2,2,23.742409,-99.171889,false,abstemious,no preference,friends,car owner,single,independent,1989,variety,hard-worker,Catholic,?,blue,87,high,1.79,Mexican,Mexican,cash,yes,08:30-20:00;,Mon;Tue;Wed;Thu;Fri;
U1107,132733,2,2,2,23.742409,-99.171889,false,abstemious,no preference,friends,car owner,single,independent,1989,variety,hard-worker,Catholic,?,blue,87,high,1.79,Mexican,Pizzeria,cash,yes,10:30-22:30;,Mon;Tue;Wed;Thu;Fri;
U1044,135088,2,2,2,18.95298,-99.260789,true,social drinker,informal,family,car owner,married,kids,1969,variety,thrifty-protector,Catholic,professional,orange,85,medium,1.73,Mexican,Cafeteria,cash,public,09:00-16:00;,Mon;Tue;Wed;Thu;Fri;
U1044,132583,1,2,1,18.95298,-99.260789,true,social drinker,informal,family,car owner,married,kids,1969,variety,thrifty-protector,Catholic,professional,orange,85,medium,1.73,Mexican,American,cash,none,,
U1070,132608,2,2,1,23.753237,-99.166868,false,casual drinker,informal,friends,public,single,independent,1991,variety,thrifty-protector,Catholic,student,green,47,low,1.6,Mexican,Mexican,cash,public,19:00-02:00;,Mon;Tue;Wed;Thu;Fri;
U1070,132609,1,1,1,23.753237,-99.166868,false,casual drinker,informal,friends,public,single,independent,1991,variety,thrifty-protector,Catholic,student,green,47,low,1.6,Mexican,Fast_Food,cash,yes,12:00-18:00;,Mon;Tue;Wed;Thu;Fri;
U1070,132613,1,1,0,23.753237,-99.166868,false,casual drinker,informal,friends,public,single,independent,1991,variety,thrifty-protector,Catholic,student,green,47,low,1.6,Mexican,Mexican,cash,yes,08:00-16:00;,Mon;Tue;Wed;Thu;Fri;
U1031,132663,0,0,0,23.735698,-99.159851,false,abstemious,informal,solitary,?,married,kids,1992,none,hard-worker,Catholic,unemployed,white,40,medium,1.6,Mexican,Mexican,,none,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
U1031,132665,0,0,0,23.735698,-99.159851,false,abstemious,informal,solitary,?,married,kids,1992,none,hard-worker,Catholic,unemployed,white,40,medium,1.6,Mexican,Mexican,,none,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
U1031,132668,0,0,0,23.735698,-99.159851,false,abstemious,informal,solitary,?,married,kids,1992,none,hard-worker,Catholic,unemployed,white,40,medium,1.6,Mexican,Mexican,,none,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
U1082,132630,1,1,1,23.753061,-99.166095,true,abstemious,informal,friends,public,single,?,1989,variety,hard-worker,Catholic,student,black,63,medium,1.69,Mexican,Mexican,,none,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
U1023,132715,0,0,0,23.752943,-99.166589,false,casual drinker,informal,friends,car owner,single,independent,1988,none,hard-worker,Catholic,student,blue,103,low,1.79,Mexican,Mexican,cash,none,09:00-16:00;,Mon;Tue;Wed;Thu;Fri;
U1023,132717,0,0,0,23.752943,-99.166589,false,casual drinker,informal,friends,car owner,single,independent,1988,none,hard-worker,Catholic,student,blue,103,low,1.79,Mexican,Fast_Food,cash,public,09:30-21:30;,Mon;Tue;Wed;Thu;Fri;
U1082,132613,0,0,0,23.753061,-99.166095,true,abstemious,informal,friends,public,single,?,1989,variety,hard-worker,Catholic,student,black,63,medium,1.69,Mexican,Mexican,cash,yes,08:00-16:00;,Mon;Tue;Wed;Thu;Fri;
